ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ,³É½»±ÊÊý
2017-08-25,'600800,Ìì½ò´Å¿¨,8.07,8.2,7.97,8.2,8.25,-0.18,-2.1818,6.0317,36851076,297695168.0,4932957349.29,4930415299.29,None
2017-08-24,'600800,Ìì½ò´Å¿¨,8.25,8.25,7.41,7.47,7.5,0.75,10.0,7.3548,44934740,364056214.0,5042986137.75,5040387387.75,None
2017-08-23,'600800,Ìì½ò´Å¿¨,7.5,7.68,7.47,7.56,7.58,-0.08,-1.0554,1.638,10007194,75818956.0,4584532852.5,4582170352.5,None
2017-08-22,'600800,Ìì½ò´Å¿¨,7.58,7.8,7.55,7.8,7.8,-0.22,-2.8205,2.3273,14218529,108824096.0,4633434536.26,4631046836.26,None
2017-08-21,'600800,Ìì½ò´Å¿¨,7.8,7.9,7.54,7.65,7.57,0.23,3.0383,3.5127,21460749,165398048.0,4767914166.6,4765457166.6,None
2017-08-18,'600800,Ìì½ò´Å¿¨,7.57,7.73,7.34,7.41,7.51,0.06,0.7989,2.6396,16126911,121487249.0,4627321825.79,4624937275.79,None
2017-08-17,'600800,Ìì½ò´Å¿¨,7.51,7.6,7.38,7.47,7.43,0.08,1.0767,2.1857,13353919,100024716.0,4590645562.97,4588279912.97,None
2017-08-16,'600800,Ìì½ò´Å¿¨,7.43,7.44,7.24,7.24,7.29,0.14,1.9204,1.901,11614455,85712356.0,4541743879.21,4539403429.21,None
2017-08-15,'600800,Ìì½ò´Å¿¨,7.29,7.33,7.21,7.25,7.24,0.05,0.6906,0.825,5040460,36654240.0,4456165932.63,4453869582.63,None
2017-08-14,'600800,Ìì½ò´Å¿¨,7.24,7.25,7.1,7.1,7.11,0.13,1.8284,0.7584,4633357,33378795.0,4425602380.28,4423321780.28,None
2017-08-11,'600800,Ìì½ò´Å¿¨,7.11,7.26,7.09,7.21,7.25,-0.14,-1.931,1.3458,8222156,58895449.0,4346137144.17,4343897494.17,None
2017-08-10,'600800,Ìì½ò´Å¿¨,7.25,7.36,7.2,7.33,7.36,-0.11,-1.4946,1.2382,7564839,54988082.0,4431715090.75,4429431340.75,None
2017-08-09,'600800,Ìì½ò´Å¿¨,7.36,7.36,7.3,7.32,7.36,0.0,0.0,0.8465,5171899,37951119.0,4498954905.92,4496636505.92,None
2017-08-08,'600800,Ìì½ò´Å¿¨,7.36,7.39,7.28,7.39,7.39,-0.03,-0.406,1.1629,7104787,52144758.0,4498954905.92,4496636505.92,None
2017-08-07,'600800,Ìì½ò´Å¿¨,7.39,7.41,7.3,7.35,7.41,-0.02,-0.2699,1.0278,6279597,46218961.0,4517293037.33,4514965187.33,None
2017-08-04,'600800,Ìì½ò´Å¿¨,7.41,7.63,7.26,7.32,7.33,0.08,1.0914,2.3871,14584218,108292669.0,4529518458.27,4527184308.27,None
2017-08-03,'600800,Ìì½ò´Å¿¨,7.33,7.4,7.26,7.33,7.34,-0.01,-0.1362,1.1066,6761053,49552611.0,4480616774.51,4478307824.51,None
2017-08-02,'600800,Ìì½ò´Å¿¨,7.34,7.45,7.32,7.41,7.46,-0.12,-1.6086,1.4825,9057129,66787531.0,4486729484.98,4484417384.98,None
2017-08-01,'600800,Ìì½ò´Å¿¨,7.46,7.47,7.36,7.39,7.39,0.07,0.9472,1.1723,7161939,53101267.0,4560082010.62,4557732110.62,None
2017-07-31,'600800,Ìì½ò´Å¿¨,7.39,7.46,7.33,7.41,7.42,-0.03,-0.4043,1.0797,6596403,48744163.0,4517293037.33,4514965187.33,None
2017-07-28,'600800,Ìì½ò´Å¿¨,7.42,7.51,7.4,7.44,7.46,-0.04,-0.5362,1.1375,6949460,51737278.0,4535631168.74,4533293868.74,None
2017-07-27,'600800,Ìì½ò´Å¿¨,7.46,7.52,7.29,7.38,7.44,0.02,0.2688,1.5607,9535118,70737785.0,4560082010.62,4557732110.62,None
2017-07-26,'600800,Ìì½ò´Å¿¨,7.44,7.58,7.21,7.29,7.28,0.16,2.1978,1.9191,11724767,86699658.0,4547856589.68,4545512989.68,None
2017-07-25,'600800,Ìì½ò´Å¿¨,7.28,7.46,7.25,7.4,7.4,-0.12,-1.6216,1.2177,7439470,54638644.0,4450053222.16,4447760022.16,None
2017-07-24,'600800,Ìì½ò´Å¿¨,7.4,7.43,7.31,7.38,7.41,-0.01,-0.135,1.0499,6414490,47265899.0,4523405747.8,4521074747.8,None
2017-07-21,'600800,Ìì½ò´Å¿¨,7.41,7.5,7.35,7.41,7.41,0.0,0.0,0.9697,5924168,43884252.0,4529518458.27,4527184308.27,None
2017-07-20,'600800,Ìì½ò´Å¿¨,7.41,7.56,7.32,7.34,7.34,0.07,0.9537,1.4319,8748524,65241077.0,4529518458.27,4527184308.27,None
2017-07-19,'600800,Ìì½ò´Å¿¨,7.34,7.35,7.19,7.27,7.29,0.05,0.6859,1.3276,8111239,59073697.0,4486729484.98,4484417384.98,None
2017-07-18,'600800,Ìì½ò´Å¿¨,7.29,7.31,7.08,7.09,7.18,0.11,1.532,1.2807,7824341,56445202.0,4456165932.63,4453869582.63,None
2017-07-17,'600800,Ìì½ò´Å¿¨,7.18,7.95,7.18,7.93,7.98,-0.8,-10.0251,3.5442,21653630,159599408.0,4388926117.46,4386664417.46,None
